nome_wiki,dob_wiki,nacionalidade_wiki,nivel_match,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat .1,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,dob_iso,dob_date,name_norm
Michael Estrada,1996-04-07,Equador,1,86035420,,Michael Estrada,7/4/1996 (26 years old),ECU,Mexican First Division,Cruz Azul,Mexico (First Division),Right,Very Strong,Reasonable,"AM (L), ST (C)",187 cm,86 kg,26,€350K - €6.6M,"€69,000 p/m",276,94,Main,35,-,Physical,-,Inside Forward,Attack,AM (L),15,1,12,13,13,12,10,2,2,13,10,7,10,10,12,13,1,15,11,14,13,2,15,13,3,10,16,4,5,11,14,1,15,10,14,6,1,1,2,15,14,5,10,11,1,9,8,1996-04-07,1996-04-07,michael estrada
Moisés Ramírez,2000-09-09,Equador,1,86066843,,Moisés Ramírez,9/9/2000 (21 years old),ECU,Ecuadorian LigaPro Serie A,Independiente del Valle,Ecuador (LigaPro Serie A),Right,Very Strong,Reasonable,GK,186 cm,75 kg,21,€100K - €1M,"€24,500 p/m",72,-,Main,2,25,Shot Stopper,-,Sweeper Keeper,Attack,GK,15,16,12,17,11,16,13,13,8,8,11,3,2,9,10,3,16,1,10,9,6,10,6,14,9,10,2,2,2,15,5,15,15,12,9,10,9,16,13,17,15,1,9,10,8,7,6,2000-09-09,2000-09-09,moises ramirez
Enner Valencia,1989-11-04,Equador,1,86012153,,Enner Valencia,4/11/1989 (32 years old),ECU,Turkish Super League,Fenerbahçe,Turkey (Super League),Right,Very Strong,Fairly Strong,"AM (RL), ST (C)",177 cm,74 kg,32,€1.9M - €3.9M,"€250,000 p/m",381,96,Main,74,-,Physical,-,Pressing Forward,Attack,ST (C),14,3,17,15,11,12,15,3,1,12,17,7,9,10,16,14,2,14,12,16,10,1,14,9,2,6,12,3,5,14,14,1,16,12,15,7,4,1,1,11,12,7,12,14,1,11,15,1989-11-04,1989-11-04,enner valencia
Xavier Arreaga,1994-09-28,Equador,1,86050955,,Xavier Arreaga,28/9/1994 (27 years old),ECU,Major League Soccer,Seattle,U.S.A. (MLS),Right,Very Strong,Reasonable,"D (C), DM",183 cm,75 kg,27,€200K - €2M,"€59,000 p/m",208,14,,17,-,Physical,-,No-Nonsense Centre-Back,Defend,D (C),11,2,13,11,12,13,16,3,1,9,12,3,7,9,12,8,3,7,9,11,6,1,15,13,2,9,9,14,15,15,11,1,12,10,7,13,1,1,2,16,14,16,14,11,1,7,15,1994-09-28,1994-09-28,xavier arreaga
Ángel Mena,1988-01-21,Equador,1,86009323,,Ángel Mena,21/1/1988 (34 years old),ECU,Mexican First Division,León,Mexico (First Division),Left Only,Weak,Very Strong,"M (R), AM (RL)",170 cm,70 kg,34,€75K - €750K,"€97,500 p/m",459,133,Main,45,-,Technical,-,Inverted Winger,Support,AM (R),15,2,9,12,12,13,8,1,1,12,12,13,14,12,13,14,1,13,13,14,14,1,9,7,1,11,11,9,9,8,12,3,15,14,13,12,2,2,2,14,12,7,14,13,3,12,11,1988-01-21,1988-01-21,angel mena
Jeremy Sarmiento,2002-06-16,Equador,1,83262111,Wnt,Jeremy Sarmiento,16/6/2002 (20 years old),ECU,English Premier Division,Brighton,England (Premier Division),Right,Very Strong,Reasonable,AM (RL),182 cm,75 kg,20,€8.8M - €11M,"€60,500 p/m",5,-,Main,9,-,Physical,-,Inverted Winger,Support,AM (L),15,1,9,14,11,14,9,1,1,12,9,8,11,9,13,15,1,12,13,14,8,3,10,10,1,7,12,6,6,12,14,2,15,10,8,7,2,1,3,13,9,7,10,14,2,9,12,2002-06-16,2002-06-16,jeremy sarmiento
Ángelo Preciado,1998-02-18,Equador,1,86066845,Wnt,Ángelo Preciado,18/2/1998 (24 years old),ECU,Jupiler Pro League,KRC Genk,Belgium (Jupiler Pro League),Right,Very Strong,Weak,D/WB/M (R),173 cm,74 kg,24,€1.4M - €2.9M,"€26,000 p/m",109,8,,24,-,Physical,-,Wing-Back,Attack,D (R),15,3,12,14,9,10,11,3,3,10,9,8,14,11,19,13,2,9,11,13,7,3,6,9,2,7,14,11,9,16,12,1,15,12,8,10,1,2,2,16,10,13,13,14,3,8,11,1998-02-18,1998-02-18,angelo preciado
Diego Palacios,1999-07-12,Equador,1,86067902,,Diego Palacios,12/7/1999 (22 years old),ECU,Major League Soccer,LAFC,U.S.A. (MLS),Left,Reasonable,Very Strong,D/WB/M/AM (L),169 cm,62 kg,22,€130K - €5.6M,"€43,000 p/m",169,2,,11,16,Technical,-,Wing-Back,Defend,WB (L),14,3,11,14,12,10,13,3,2,12,12,6,11,12,12,13,1,5,11,13,4,3,2,4,2,5,5,11,13,14,13,3,16,11,7,11,3,2,2,15,6,14,13,12,3,12,15,1999-07-12,1999-07-12,diego palacios
Gonzalo Plata,2000-11-01,Equador,1,86066846,,Gonzalo Plata,1/11/2000 (21 years old),ECU,Spanish First Division,Valladolid,Spain (First Division),Left Only,Weak,Very Strong,AM (RLC),178 cm,66 kg,21,€10.5M - €15.5M,"€37,000 p/m",78,12,Main,29,16,Creative,-,Inverted Winger,Support,AM (R),16,2,8,15,10,13,8,1,3,11,9,15,14,10,9,16,3,13,14,17,14,3,9,9,1,8,14,5,6,15,12,2,15,13,12,5,2,1,3,13,9,5,10,15,2,13,13,2000-11-01,2000-11-01,gonzalo plata
Jhegson Méndez,1997-04-26,Equador,1,86043746,,Jhegson Méndez,26/4/1997 (25 years old),ECU,Major League Soccer,LAFC,U.S.A. (MLS),Right,Very Strong,Fairly Strong,M/AM (C),181 cm,70 kg,25,€140K - €1.4M,"€53,500 p/m",153,5,,31,13,Physical,-,Box To Box Midfielder,Support,M (C),15,2,8,14,8,10,10,2,1,10,10,6,8,12,11,10,3,5,11,11,6,2,5,7,3,10,9,5,8,14,10,1,13,15,13,7,2,3,2,17,12,10,17,14,1,13,14,1997-04-26,1997-04-26,jhegson mendez
Alan Franco,1998-08-21,Equador,1,86066841,Inj,Alan Franco,21/8/1998 (23 years old),ECU,Argentine Premier Division,Talleres,Argentina (Premier Division),Right,Very Strong,Weak,"DM, M (RC)",175 cm,74 kg,23,€4.3M - €8.2M,"€23,500 p/m",123,8,Main,24,8,Physical,-,Central Midfielder,Attack,M (C),13,1,11,16,13,12,7,3,3,14,12,7,9,13,12,10,3,11,14,12,7,2,7,7,3,10,10,5,10,15,15,3,12,14,9,9,1,1,3,17,11,11,13,14,1,13,15,1998-08-21,1998-08-21,alan franco
Alexander Domínguez,1987-06-05,Equador,1,80000436,,Alexander Domínguez,5/6/1987 (35 years old),ECU,Ecuadorian LigaPro Serie A,Liga de Quito,Ecuador (LigaPro Serie A),Right,Very Strong,Weak,GK,195 cm,84 kg,35,Not for Sale,"€25,000 p/m",378,-,Main,67,-,Shot Stopper,-,Sweeper Keeper,Support,GK,10,17,13,16,12,13,11,8,13,12,9,4,2,12,13,1,9,1,9,3,6,12,7,18,12,13,1,1,2,16,7,15,10,9,2,11,14,16,16,13,12,2,12,7,13,11,11,1987-06-05,1987-06-05,alexander dominguez
Moisés Caicedo,2001-11-02,Equador,1,86078360,,Moisés Caicedo,2/11/2001 (20 years old),ECU,English Premier Division,Brighton,England (Premier Division),Right,Very Strong,Weak,"DM, M (C)",178 cm,73 kg,20,€49M - €75M,"€126,000 p/m",45,6,Main,25,-,Technical,-,Box To Box Midfielder,Support,M (C),16,1,13,16,13,12,13,3,3,14,13,5,8,14,15,14,1,10,13,14,8,3,9,9,1,9,12,4,12,18,13,2,14,15,8,14,1,1,1,16,9,17,14,14,3,14,15,2001-11-02,2001-11-02,moises caicedo
Djorkaeff Reasco,1999-01-18,Equador,1,86051909,,Djorkaeff Reasco,18/1/1999 (23 years old),ECU,Argentine Premier Division,Newell's,Argentina (Premier Division),Right,Very Strong,Weak,ST (C),172 cm,70 kg,23,€2M - €4.2M,"€28,000 p/m",74,16,,3,7,Technical,-,Advanced Forward,Attack,ST (C),13,4,11,15,12,10,9,2,2,13,11,9,11,10,14,13,1,14,13,13,10,3,13,9,3,8,14,5,5,10,15,3,14,12,10,7,3,1,3,13,11,5,15,14,2,11,13,1999-01-18,1999-01-18,djorkaeff reasco
Jackson Porozo,2000-08-04,Equador,1,19354849,,Jackson Porozo,4/8/2000 (21 years old),ECU,Ligue 1 Uber Eats,Troyes,France (Ligue 1 Uber Eats),Left,Reasonable,Very Strong,D (C),193 cm,85 kg,21,€6.2M - €7.4M,"€52,000 p/m",53,3,Main,5,23,Physical,-,No-Nonsense Centre-Back,Stopper,D (C),14,2,18,13,16,13,15,3,1,8,7,5,6,9,15,10,3,8,11,6,5,1,16,16,2,11,6,10,14,16,9,1,16,9,8,12,1,2,1,15,14,14,13,11,2,9,13,2000-08-04,2000-08-04,jackson porozo
Kevin Rodríguez,2000-03-04,Equador,3,86067793,FrA,Walter Rodríguez,28/1/1998 (24 years old),ECU,-,,Ecuador,Left,Weak,Very Strong,D/WB (L),173 cm,68 kg,24,0,-,69,3,,0,-,Leader,-,Wing-Back,Defend,D (L),14,2,15,14,9,8,9,3,2,7,9,6,7,10,13,7,2,2,9,9,2,1,8,3,1,13,4,2,9,9,7,3,14,8,2,7,2,3,2,13,7,9,8,9,2,5,8,1998-01-28,1998-01-28,walter rodriguez
Remko Pasveer,1983-11-08,Países Baixos,1,859209,,Remko Pasveer,8/11/1983 (38 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Right Only,Very Strong,Weak,GK,187 cm,91 kg,38,€350K - €1M,"€52,000 p/m",354,-,,0,5,Distributor,-,Sweeper Keeper,Support,GK,9,13,5,11,14,16,13,15,14,15,15,1,3,14,17,3,11,3,8,7,4,13,3,13,15,17,3,3,2,15,8,14,8,11,2,14,14,15,13,14,11,2,15,9,14,7,15,1983-11-08,1983-11-08,remko pasveer
Jurriën Timber,2001-06-17,Países Baixos,1,37063644,,Jurriën Timber,17/6/2001 (21 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Right,Very Strong,Reasonable,"D (RC), WB (R), DM",179 cm,79 kg,21,€76M - €108M,"€325,000 p/m",89,4,Main,7,-,Technical,-,Full-Back,Support,D (R),14,3,13,15,14,13,14,1,1,15,14,4,8,14,16,10,2,7,14,12,9,1,13,13,2,10,7,7,13,12,13,1,15,15,8,15,1,2,3,14,12,13,16,15,3,12,15,2001-06-17,2001-06-17,jurrien timber
Matthijs de Ligt,1999-08-12,Países Baixos,1,37055843,,Matthijs de Ligt,12/8/1999 (22 years old),NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,D (C),189 cm,89 kg,22,€106M - €132M,"€1,330,000 p/m",181,17,Main,37,-,Leader,-,Ball Playing Defender,Defend,D (C),12,4,16,12,14,15,18,1,1,15,13,6,7,14,16,11,2,8,13,10,10,3,16,15,3,17,10,5,15,13,8,3,13,14,8,15,1,1,2,15,18,16,15,14,1,13,15,1999-08-12,1999-08-12,matthijs de ligt
Virgil van Dijk,1991-07-08,Países Baixos,1,37024025,,Virgil van Dijk,8/7/1991 (30 years old),NED,English Premier Division,Liverpool,England (Premier Division),Right,Very Strong,Reasonable,D (C),193 cm,92 kg,30,€275M - €300M,"€1,206,000 p/m",328,31,Main,47,3,Technical,-,Ball Playing Defender,Defend,D (C),15,3,17,12,17,15,15,2,3,17,16,3,5,17,16,13,3,8,17,12,12,3,18,17,2,17,7,8,17,17,8,3,16,16,7,17,4,2,1,14,17,17,14,16,3,14,12,1991-07-08,1991-07-08,virgil van dijk
Nathan Aké,1995-02-18,Países Baixos,1,37025551,,Nathan Aké,18/2/1995 (27 years old),NED,English Premier Division,Man City,England (Premier Division),Left,Reasonable,Very Strong,"D (LC), DM",180 cm,75 kg,27,€39M - €43M,"€553,000 p/m",175,15,,27,22,Technical,-,Full-Back,Support,D (L),16,2,12,14,15,13,14,2,2,15,15,2,10,13,15,13,2,8,14,6,6,3,15,12,3,14,10,10,15,14,5,2,15,14,3,15,4,1,4,15,15,15,14,14,2,13,16,1995-02-18,1995-02-18,nathan ake
Stefan de Vrij,1992-02-05,Países Baixos,1,37001814,Wnt,Stefan de Vrij,5/2/1992 (30 years old),NED,Italian Serie A,Inter,Italy (Serie A),Right,Very Strong,Reasonable,D (C),189 cm,78 kg,30,€14M - €21M,"€587,000 p/m",354,22,Main,57,12,Technical,-,Ball Playing Defender,Defend,D (C),12,3,13,12,17,14,15,2,2,14,13,4,8,13,14,10,1,9,13,12,6,2,16,15,3,13,8,7,17,16,8,3,12,14,8,14,1,3,3,15,15,15,16,14,2,12,15,1992-02-05,1992-02-05,stefan de vrij
Steven Bergwijn,1997-10-08,Países Baixos,1,37050140,,Steven Bergwijn,8/10/1997 (24 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Right,Very Strong,Fairly Strong,"M (RL), AM (RLC), ST (C)",178 cm,78 kg,24,€21M - €32M,"€390,000 p/m",203,52,Main,22,8,Technical,-,Inverted Winger,Support,AM (L),15,2,10,14,14,13,13,1,2,13,12,11,13,13,13,15,3,14,15,16,13,3,7,8,1,5,14,5,8,14,13,1,14,13,12,7,3,3,2,13,14,7,12,15,2,12,13,1997-10-08,1997-10-08,steven bergwijn
Cody Gakpo,1999-05-07,Países Baixos,1,37062185,Wnt,Cody Gakpo,7/5/1999 (23 years old),NED,Eredivisie,PSV,Holland (Eredivisie),Right,Very Strong,Reasonable,"M (L), AM (RL), ST (C)",189 cm,76 kg,23,€55M - €65M,"€83,000 p/m",117,44,Main,7,13,Creative,-,Inverted Winger,Attack,AM (L),15,2,8,16,13,13,12,3,3,13,13,17,14,12,14,16,2,12,15,15,12,4,12,14,1,14,15,5,5,10,13,4,14,12,11,6,2,3,2,13,12,4,13,14,1,13,12,1999-05-07,1999-05-07,cody gakpo
Luuk de Jong,1990-08-27,Países Baixos,1,37008621,,Luuk de Jong,27/8/1990 (31 years old),NED,Eredivisie,PSV,Holland (Eredivisie),Right,Very Strong,Fairly Strong,ST (C),189 cm,87 kg,31,Not for Sale,"€130,000 p/m",385,158,,38,18,Intelligent,-,Target Forward,Support,ST (C),11,1,12,13,16,15,16,1,3,14,13,4,8,14,14,10,2,15,14,11,12,1,17,16,2,14,12,4,5,15,15,1,11,11,12,5,3,1,3,15,14,4,14,12,1,14,16,1990-08-27,1990-08-27,luuk de jong
Memphis Depay,1994-02-13,Países Baixos,1,37024470,Wnt,Memphis Depay,13/2/1994 (28 years old),NED,Spanish First Division,Barcelona,Spain (First Division),Right,Very Strong,Fairly Strong,"AM (LC), ST (C)",176 cm,78 kg,28,€40M - €60M,"€801,000 p/m",289,116,Main,79,7,Technical,-,Inverted Winger,Support,AM (L),16,3,9,14,13,14,13,2,2,14,10,14,14,13,15,15,2,15,16,17,14,3,11,10,3,15,14,2,3,16,15,3,16,15,14,5,1,2,1,14,14,3,12,16,1,14,11,1994-02-13,1994-02-13,memphis depay
Steven Berghuis,1991-12-19,Países Baixos,1,37024265,,Steven Berghuis,19/12/1991 (30 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Left,Weak,Very Strong,"M (R), AM (RLC), ST (C)",182 cm,70 kg,30,€29M - €35M,"€325,000 p/m",284,100,Main,36,3,Creative,-,Inverted Winger,Support,AM (R),15,3,9,14,14,14,11,1,1,12,13,15,15,11,13,14,1,13,14,13,14,2,12,11,3,13,16,4,3,12,14,3,15,14,14,6,1,1,3,15,11,5,14,14,2,15,16,1991-12-19,1991-12-19,steven berghuis
Noa Lang,1999-06-17,Países Baixos,1,37055842,,Noa Lang,17/6/1999 (23 years old),NED,Jupiler Pro League,Club Brugge,Belgium (Jupiler Pro League),Right,Very Strong,Fairly Strong,AM (RL),179 cm,68 kg,23,€12M - €17.5M,"€130,000 p/m",128,39,U23,5,7,Technical,-,Inverted Winger,Support,AM (L),14,2,16,14,12,10,16,2,2,14,11,11,14,13,1,15,1,13,15,16,11,3,9,10,3,7,12,5,6,14,14,1,13,14,11,8,1,2,3,12,9,6,13,15,2,14,14,1999-06-17,1999-06-17,noa lang
Justin Bijlow,1998-01-22,Países Baixos,1,37050136,,Justin Bijlow,22/1/1998 (24 years old),NED,Eredivisie,Feyenoord,Holland (Eredivisie),Right Only,Very Strong,Weak,GK,188 cm,84 kg,24,€9.4M - €13M,"€31,000 p/m",62,-,Main,6,13,Shot Stopper,-,Sweeper Keeper,Defend,GK,11,14,7,14,13,13,11,14,12,12,14,4,2,13,15,1,8,1,6,7,8,14,5,14,15,12,3,1,2,10,3,15,11,14,3,15,9,14,12,12,11,1,14,11,12,12,14,1998-01-22,1998-01-22,justin bijlow
Davy Klaassen,1993-02-21,Países Baixos,1,37018393,,Davy Klaassen,21/2/1993 (29 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Right,Very Strong,Reasonable,M/AM (C),181 cm,75 kg,29,€17.5M - €21M,"€152,000 p/m",268,79,,35,4,Leader,-,Ball Winning Midfielder,Defend,M (C),11,2,17,13,17,14,13,3,2,13,16,8,11,15,18,11,1,14,14,13,8,3,13,10,1,14,12,5,7,17,16,2,12,12,14,12,3,2,2,16,12,11,18,13,2,14,18,1993-02-21,1993-02-21,davy klaassen
Marten de Roon,1991-03-29,Países Baixos,1,37001813,,Marten de Roon,29/3/1991 (31 years old),NED,Italian Serie A,Atalanta,Italy (Serie A),Right,Very Strong,Reasonable,"DM, M (C)",185 cm,76 kg,31,Not for Sale,"€154,000 p/m",384,22,Main,27,-,Leader,-,Ball Winning Midfielder,Defend,DM,12,3,16,11,16,13,15,2,3,14,14,7,8,15,16,10,2,8,13,8,5,3,14,14,1,13,10,10,13,16,12,3,12,13,6,16,2,2,3,17,15,17,18,12,3,12,17,1991-03-29,1991-03-29,marten de roon
Tyrell Malacia,1999-08-19,Países Baixos,1,37058363,,Tyrell Malacia,17/8/1999 (22 years old),NED,English Premier Division,Man UFC,England (Premier Division),Left,Reasonable,Very Strong,D/WB (L),169 cm,67 kg,22,€30M - €37M,"€251,000 p/m",98,4,Main,5,7,Leader,-,Wing-Back,Defend,D (L),15,1,15,17,13,13,16,3,1,14,14,7,13,14,16,12,1,7,13,10,9,1,9,8,2,9,8,12,14,16,13,2,14,12,7,13,2,2,2,15,7,13,15,13,3,11,17,1999-08-17,1999-08-17,tyrell malacia
Daley Blind,1990-03-09,Países Baixos,1,37005632,,Daley Blind,9/3/1990 (32 years old),NED,Eredivisie,Ajax,Holland (Eredivisie),Left,Weak,Very Strong,"D (LC), WB (L), DM",180 cm,72 kg,32,€13.5M - €20M,"€217,000 p/m",320,14,Main,91,23,Intelligent,-,Deep Lying Playmaker,Support,DM,9,3,12,11,16,14,14,4,2,17,14,12,12,16,17,8,3,8,15,10,10,3,13,12,3,16,8,10,14,17,14,1,9,16,11,15,3,2,2,14,12,13,17,14,3,16,16,1990-03-09,1990-03-09,daley blind
Vincent Janssen,1994-06-15,Países Baixos,1,37018783,,Vincent Janssen,15/6/1994 (28 years old),NED,Jupiler Pro League,Antwerp,Belgium (Jupiler Pro League),Either,Strong,Very Strong,ST (C),183 cm,88 kg,28,€8M - €9.8M,"€217,000 p/m",227,77,,18,10,Physical,-,Pressing Forward,Attack,ST (C),11,2,15,12,12,15,14,3,1,11,12,5,6,13,16,11,2,13,14,13,12,2,14,12,2,8,11,5,4,11,15,2,12,12,15,8,1,3,3,13,16,4,14,12,1,12,14,1994-06-15,1994-06-15,vincent janssen
Wout Weghorst,1992-08-07,Países Baixos,1,37026994,,Wout Weghorst,7/8/1992 (29 years old),NED,Turkish Super League,Beşiktaş,Turkey (Super League),Right,Very Strong,Fairly Strong,ST (C),197 cm,84 kg,29,€27M - €40M,"€221,000 p/m",324,131,,13,1,Leader,-,Target Forward,Support,ST (C),10,1,14,11,15,15,18,4,1,14,11,3,8,12,18,10,2,16,14,10,5,1,15,18,4,14,8,5,6,17,14,2,12,12,14,7,3,1,3,17,17,6,12,12,3,12,16,1992-08-07,1992-08-07,wout weghorst
Teun Koopmeiners,1998-02-28,Países Baixos,1,37057982,Wnt,Teun Koopmeiners,28/2/1998 (24 years old),NED,Italian Serie A,Atalanta,Italy (Serie A),Left,Fairly Strong,Very Strong,"DM, M (C)",184 cm,77 kg,24,€15.5M - €23M,"€160,000 p/m",171,42,Main,9,19,Physical,-,Central Midfielder,Support,M (C),11,1,12,12,16,15,12,3,3,12,14,12,12,16,18,11,2,13,14,7,16,1,10,12,3,15,15,4,11,15,10,3,12,15,16,13,3,3,1,16,15,12,17,14,1,13,15,1998-02-28,1998-02-28,teun koopmeiners
Frenkie de Jong,1997-05-12,Países Baixos,1,37047745,,Frenkie de Jong,12/5/1997 (25 years old),NED,Spanish First Division,Barcelona,Spain (First Division),Right,Very Strong,Fairly Strong,"D (C), DM, M (C)",181 cm,69 kg,25,€134M - €161M,"€1,167,000 p/m",202,20,Main,43,-,Intelligent,-,Advanced Playmaker,Support,M (C),14,2,7,16,17,13,11,3,3,16,15,9,11,16,15,16,1,10,17,15,13,3,10,10,4,11,8,6,10,13,15,3,13,16,11,14,1,1,2,13,10,12,17,16,3,18,14,1997-05-12,1997-05-12,frenkie de jong
